xyzdmxyzcountry,xyzdmxyzrequestyear,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdpxyzsi_mpm_educ,xyzdpxyzsi_mpm_edue,xyzdpxyzsi_mpm_elec,xyzdpxyzsi_mpm_imps,xyzdpxyzsi_mpm_impw,xyzdpxyzsi_mpm_poor,xyzdpxyzsi_mpm_mdhc,survname,comparable_spell,xyzdcxyzpppyear,xyzdcxyzcoverage
BOL,2017,FALSE,INC,.16181974,.01228065,.07218883,.22294655,.09685047,.04933361,.09590174,EH,2002-2021,2017,N
BOL,2018,FALSE,INC,.15313828,.01556556,.06231388,.19779637,.09392192,.04903888,.09804166,EH,2002-2021,2011,N
BOL,2018,FALSE,INC,.15313828,.01556556,.06231388,.19779637,.09392192,.03274886,.08558236,EH,2002-2021,2017,N
BOL,2019,FALSE,INC,.1338301,.0218443,.04871546,.16323236,.07386949,.03241089,.06616547,EH,2002-2021,2011,N
BOL,2019,FALSE,INC,.1338301,.0218443,.04871546,.16323236,.07386949,.01920535,.05608434,EH,2002-2021,2017,N
BOL,2020,FALSE,INC,.13975889,.02057667,.04372378,.17715376,.06553709,.04464846,.07826667,EH,2002-2021,2011,N
BOL,2020,FALSE,INC,.13975889,.02057667,.04372378,.17715376,.06553709,.03121507,.06553658,EH,2002-2021,2017,N
BOL,2021,FALSE,INC,.12281151,.01383869,.02938617,.13905991,.09903722,.03212507,.05613988,EH,2002-2021,2011,N
BOL,2021,FALSE,INC,.12281151,.01383869,.02938617,.13905991,.09903722,.01964501,.04539775,EH,2002-2021,2017,N
BRA,2016,FALSE,INC,.17171053,.00621339,.00249331,.36456366,.02024856,.04113851,.05148122,PNADC-E1,2012-2021,2011,N
BRA,2016,FALSE,INC,.17171053,.00621339,.00249331,.36456366,.02024856,.04706192,.0569471,PNADC-E1,2012-2021,2017,N
BRA,2017,FALSE,INC,.1655997,.00572106,.00232858,.36047063,.02143774,.05269049,.06163647,PNADC-E1,2012-2021,2017,N
BRA,2017,FALSE,INC,.1655997,.00572106,.00232858,.36047063,.02143774,.04662484,.05591244,PNADC-E1,2012-2021,2011,N
BRA,2018,FALSE,INC,.15818623,.00527291,.00271776,.35871373,.01797572,.04664831,.05417471,PNADC-E1,2012-2021,2011,N
BRA,2018,FALSE,INC,.15818623,.00527291,.00271776,.35871373,.01797572,.05301762,.06027694,PNADC-E1,2012-2021,2017,N
BRA,2019,FALSE,INC,.15028508,.00439913,.00245952,.3434228,.01782774,.04859449,.05563597,PNADC-E1,2012-2021,2011,N
BRA,2019,FALSE,INC,.15028508,.00439913,.00245952,.3434228,.01782774,.05388581,.06071147,PNADC-E1,2012-2021,2017,N
BTN,2012,FALSE,CONS,.49959329,.0652987,.12904759,.33764385,.01725661,.02184338,.11099346,BLSS,2007-2017,2011,N
BTN,2012,FALSE,CONS,.49959329,.0652987,.12904759,.33764385,.01725661,.0173033,.10756372,BLSS,2007-2017,2017,N
BTN,2017,FALSE,CONS,.40761384,.04123156,.0189661,.14318585,.0042957,.01542608,.03912699,BLSS,2007-2017,2011,N
BTN,2017,FALSE,CONS,.40761384,.04123156,.0189661,.14318585,.0042957,.00945762,.03330842,BLSS,2007-2017,2017,N
BWA,2015,FALSE,CONS,.08184761,.04207795,.35469458,.5204779,.03658751,.14092337,.19964774,BMTHS,2002-2015,2011,N
BWA,2015,FALSE,CONS,.08184761,.04207795,.35469458,.5204779,.03658751,.15036552,.20790211,BMTHS,2002-2015,2017,N
CHE,2009,FALSE,INC,.00023466,,0,,0,.00154306,.00177772,EU-SILC,2006-2018,2017,N
CHE,2009,FALSE,INC,.00023466,,0,,0,.00154306,.00177772,EU-SILC,2006-2018,2011,N
CHE,2010,FALSE,INC,.0003613,,0,.00058448,.00073194,.00195235,.00231365,EU-SILC,2006-2018,2017,N
CHE,2010,FALSE,INC,.0003613,,0,.00058448,.00073194,.00195235,.00231365,EU-SILC,2006-2018,2011,N
CHE,2011,FALSE,INC,.00007485,,0,.00055123,.00101239,.00097258,.00104743,EU-SILC,2006-2018,2011,N
CHE,2011,FALSE,INC,.00007485,,0,.00055123,.00101239,.00097258,.00104743,EU-SILC,2006-2018,2017,N
CHE,2012,FALSE,INC,0,,0,.00007513,.00004363,.00059424,.00059424,EU-SILC,2006-2018,2017,N
CHE,2012,FALSE,INC,0,,0,.00007513,.00004363,.00059424,.00059424,EU-SILC,2006-2018,2011,N
CHE,2013,FALSE,INC,0,,0,.00163527,.00229004,.00191257,.00191257,EU-SILC,2006-2018,2011,N
CHE,2013,FALSE,INC,0,,0,.00163527,.00229004,.00191257,.00191257,EU-SILC,2006-2018,2017,N
CHE,2014,FALSE,INC,.00083407,,0,.00031605,.00069688,.00149168,.00232575,EU-SILC,2006-2018,2011,N
CHE,2014,FALSE,INC,.00083407,,0,.00031605,.00069688,.00149168,.00232575,EU-SILC,2006-2018,2017,N
