xyzdmxyzcountry,xyzdmxyzyearrange,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzdistribution,xyzdpxyzsi_spr_pcap_zg,xyzdcxyzpppyear,xyzdmxyzcoverage,survey_coverage
ARM,2010-2015,FALSE,CONS,m50,3.7196545,2017,N,N
ARM,2011-2016,FALSE,CONS,tot,4.4666095,2011,N,N
ARM,2011-2016,FALSE,CONS,b40,2.2383997,2011,N,N
ARM,2011-2016,FALSE,CONS,premium,-2.2282086,2017,N,N
ARM,2011-2016,FALSE,CONS,premium,-2.2282097,2011,N,N
ARM,2011-2016,FALSE,CONS,tot,4.4666096,2017,N,N
ARM,2011-2016,FALSE,CONS,m50,4.5212597,2017,N,N
ARM,2011-2016,FALSE,CONS,b40,2.238401,2017,N,N
ARM,2011-2016,FALSE,CONS,m50,4.5212612,2011,N,N
ARM,2012-2017,FALSE,CONS,m50,1.8067114,2017,N,N
ARM,2012-2017,FALSE,CONS,b40,1.7950439,2017,N,N
ARM,2012-2017,FALSE,CONS,m50,1.8067122,2011,N,N
ARM,2012-2017,FALSE,CONS,tot,3.1637782,2017,N,N
ARM,2012-2017,FALSE,CONS,b40,1.7950419,2011,N,N
ARM,2012-2017,FALSE,CONS,premium,-1.3687343,2017,N,N
ARM,2012-2017,FALSE,CONS,premium,-1.3687354,2011,N,N
ARM,2012-2017,FALSE,CONS,tot,3.1637774,2011,N,N
ARM,2013-2018,FALSE,CONS,m50,1.0048363,2011,N,N
ARM,2013-2018,FALSE,CONS,tot,2.3997846,2017,N,N
ARM,2013-2018,FALSE,CONS,tot,2.3997815,2011,N,N
ARM,2013-2018,FALSE,CONS,premium,-1.1370105,2017,N,N
ARM,2013-2018,FALSE,CONS,b40,1.2627741,2017,N,N
ARM,2013-2018,FALSE,CONS,premium,-1.1370049,2011,N,N
ARM,2013-2018,FALSE,CONS,m50,1.0048373,2017,N,N
ARM,2013-2018,FALSE,CONS,b40,1.2627766,2011,N,N
AUS,2014-2018,FALSE,INC,premium,-.22808397,2011,N,N
AUS,2014-2018,FALSE,INC,premium,-.22807921,2017,N,N
AUS,2014-2018,FALSE,INC,tot,-.26219956,2017,N,N
AUS,2014-2018,FALSE,INC,b40,-.49028125,2011,N,N
AUS,2014-2018,FALSE,INC,tot,-.26219729,2011,N,N
AUS,2014-2018,FALSE,INC,b40,-.49027877,2017,N,N
AUS,2014-2018,FALSE,INC,m50,.3690265,2017,N,N
AUS,2014-2018,FALSE,INC,m50,.36902925,2011,N,N
AUT,2007-2012,FALSE,INC,tot,.38964891,2011,N,N
AUT,2007-2012,FALSE,INC,b40,.37115036,2017,N,N
AUT,2007-2012,FALSE,INC,b40,.37114686,2011,N,N
AUT,2007-2012,FALSE,INC,m50,.62509561,2011,N,N
AUT,2007-2012,FALSE,INC,premium,-.01850206,2011,N,N
AUT,2007-2012,FALSE,INC,m50,.62509618,2017,N,N
AUT,2007-2012,FALSE,INC,tot,.38964881,2017,N,N
AUT,2007-2012,FALSE,INC,premium,-.01849845,2017,N,N
AUT,2009-2014,FALSE,INC,tot,.00598527,2011,N,N
AUT,2009-2014,FALSE,INC,b40,.47383889,2017,N,N
AUT,2009-2014,FALSE,INC,premium,.46785187,2017,N,N
AUT,2009-2014,FALSE,INC,m50,.17672259,2011,N,N
AUT,2009-2014,FALSE,INC,tot,.00598702,2017,N,N
AUT,2009-2014,FALSE,INC,b40,.47383982,2011,N,N
AUT,2009-2014,FALSE,INC,m50,.17672456,2017,N,N
AUT,2009-2014,FALSE,INC,premium,.46785454,2011,N,N
AUT,2010-2015,FALSE,INC,m50,.00685075,2011,N,N
AUT,2010-2015,FALSE,INC,b40,-.4699609,2011,N,N
AUT,2010-2015,FALSE,INC,b40,-.46996235,2017,N,N
AUT,2010-2015,FALSE,INC,premium,-.19061386,2017,N,N
AUT,2010-2015,FALSE,INC,tot,-.2793507,2011,N,N
AUT,2010-2015,FALSE,INC,tot,-.27934849,2017,N,N
AUT,2010-2015,FALSE,INC,m50,.00685429,2017,N,N
AUT,2010-2015,FALSE,INC,premium,-.1906102,2011,N,N
AUT,2012-2017,FALSE,INC,b40,1.4405704,2011,N,N
AUT,2012-2017,FALSE,INC,b40,1.4405706,2017,N,N
AUT,2012-2017,FALSE,INC,tot,1.196166,2017,N,N
AUT,2012-2017,FALSE,INC,premium,.24440461,2017,N,N
AUT,2012-2017,FALSE,INC,premium,.24440563,2011,N,N
AUT,2012-2017,FALSE,INC,tot,1.1961647,2011,N,N
AUT,2012-2017,FALSE,INC,m50,1.5921513,2011,N,N
AUT,2012-2017,FALSE,INC,m50,1.5921525,2017,N,N
AUT,2013-2018,FALSE,INC,m50,.74325007,2011,N,N
AUT,2013-2018,FALSE,INC,b40,.14032805,2011,N,N
AUT,2013-2018,FALSE,INC,premium,-.2983429,2017,N,N
AUT,2013-2018,FALSE,INC,b40,.140336,2017,N,N
AUT,2013-2018,FALSE,INC,tot,.43867892,2011,N,N
AUT,2013-2018,FALSE,INC,tot,.4386789,2017,N,N
AUT,2013-2018,FALSE,INC,m50,.74324901,2017,N,N
AUT,2013-2018,FALSE,INC,premium,-.29835087,2011,N,N
AUT,2014-2019,FALSE,INC,tot,1.1446912,2017,N,N
AUT,2014-2019,FALSE,INC,b40,1.1038922,2011,N,N
AUT,2014-2019,FALSE,INC,premium,-.04080129,2011,N,N
AUT,2014-2019,FALSE,INC,m50,1.1420625,2017,N,N
AUT,2014-2019,FALSE,INC,b40,1.1038935,2017,N,N
AUT,2014-2019,FALSE,INC,tot,1.1446935,2011,N,N
AUT,2014-2019,FALSE,INC,premium,-.0407977,2017,N,N
AUT,2014-2019,FALSE,INC,m50,1.1420625,2011,N,N
AUT,2015-2020,FALSE,INC,tot,1.2904152,2011,N,N
AUT,2015-2020,FALSE,INC,b40,1.6133108,2011,N,N
AUT,2015-2020,FALSE,INC,premium,.32289633,2017,N,N
AUT,2015-2020,FALSE,INC,tot,1.290415,2017,N,N
AUT,2015-2020,FALSE,INC,m50,1.4528404,2011,N,N
AUT,2015-2020,FALSE,INC,b40,1.6133113,2017,N,N
AUT,2015-2020,FALSE,INC,premium,.32289565,2011,N,N
AUT,2015-2020,FALSE,INC,m50,1.4528369,2017,N,N
BEL,2007-2012,FALSE,INC,m50,1.0859534,2017,N,N
BEL,2007-2012,FALSE,INC,b40,1.1351995,2011,N,N
BEL,2007-2012,FALSE,INC,tot,.4399578,2011,N,N
BEL,2007-2012,FALSE,INC,premium,.69524175,2011,N,N
BEL,2007-2012,FALSE,INC,tot,.43996195,2017,N,N
BEL,2007-2012,FALSE,INC,m50,1.0859507,2011,N,N
BEL,2007-2012,FALSE,INC,premium,.69524166,2017,N,N
BEL,2007-2012,FALSE,INC,b40,1.1352036,2017,N,N
BEL,2009-2014,FALSE,INC,m50,.44655424,2011,N,N
BEL,2009-2014,FALSE,INC,tot,.09766594,2017,N,N
BEL,2009-2014,FALSE,INC,tot,.09766768,2011,N,N
BEL,2009-2014,FALSE,INC,premium,.03686182,2011,N,N
BEL,2009-2014,FALSE,INC,b40,.1345295,2011,N,N
BEL,2009-2014,FALSE,INC,b40,.13453476,2017,N,N
BEL,2009-2014,FALSE,INC,m50,.44655629,2017,N,N
BEL,2009-2014,FALSE,INC,premium,.03686882,2017,N,N
BEL,2010-2015,FALSE,INC,tot,.48210446,2017,N,N
BEL,2010-2015,FALSE,INC,premium,.08957262,2017,N,N
BEL,2010-2015,FALSE,INC,b40,.57167643,2011,N,N
BEL,2010-2015,FALSE,INC,tot,.48210579,2011,N,N
BEL,2010-2015,FALSE,INC,m50,.92437516,2017,N,N
BEL,2010-2015,FALSE,INC,m50,.92437857,2011,N,N
BEL,2010-2015,FALSE,INC,b40,.57167708,2017,N,N
BEL,2010-2015,FALSE,INC,premium,.08957064,2011,N,N
BEL,2012-2017,FALSE,INC,tot,.42204285,2011,N,N
BEL,2012-2017,FALSE,INC,premium,.01827994,2017,N,N
